name,main_class,sub_class,sys_name,synonyms,pubchem_cid,exactmass,formula,inchi_key,MW_regno
Anthracene,Anthracenes,Anthracenes,,,8418,178.07825,C14H10,MWPLVEDNUUSJAV-UHFFFAOYSA-N,52118
Melanin,Anthracenes,Anthracenes,"6,14-dimethyl-4,12-diazapentacyclo[8.6.1.1^{2,5}.0^{13,17}.0^{9,18}]octadeca-1(17),2,5,9(18),10,13-hexaene-7,8,15,16-tetrone",Melanin,6325610,318.064058,C18H10N2O4,XUMBMVFBXHLACL-UHFFFAOYSA-N,38453
Tetracenomycin F2,Anthracenes,Anthracenes,"(3E)-4-(3-acetyl-4,5,7-trihydroxy-10-oxo-9,10-dihydroanthracen-2-yl)-3-hydroxybut-3-enoic acid","Tetracenomycin F2; (3E)-4-(3-acetyl-4,5,7-trihydroxy-10-oxo-9,10-dihydroanthracen-2-yl)-3-hydroxybut-3-enoic acid; Tcm F2; Tetracenomycin F2",23657834,384.08452,C20H16O8,OVIPDYYHLHEFDF-YIXHJXPBSA-N,54513
Carminomycin,Anthracyclines,Anthracyclines,"(7S,9S)-9-acetyl-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyl-tetrahydropyran-2-yl]oxy-4,6,9,11-tetrahydroxy-8,10-dihydro-7H-tetracene-5,12-dione","Carminomycin; (7S,9S)-9-acetyl-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyl-tetrahydropyran-2-yl]oxy-4,6,9,11-tetrahydroxy-8,10-dihydro-7H-tetracene-5,12-dione; Carubicin; NCGC00159344-02; DSSTox_CID_2742; DSSTox_RID_76711; DSSTox_GSID_22742",443831,513.163499,C26H27NO10,XREUEWVEMYWFFA-CSKJXFQVSA-N,69900
Epirubicin,Anthracyclines,Anthracyclines,"(8S,10S)-10-{[(2R,4S,5R,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy}-6,8,11-trihydroxy-8-(2-hydroxyacetyl)-1-methoxy-5,7,8,9,10,12-hexahydrotetracene-5,12-dione",Epirubicin,41867,543.174064,C27H29NO11,AOJJSUZBOXZQNB-VTZDEGQISA-N,42800
Cassiamin C,Anthraquinones,Anthraquinones,"2-(1,8-dihydroxy-3-methyl-9,10-dioxo-2-anthryl)-1,8-dihydroxy-3-methyl-anthracene-9,10-dione","Cassiamin C; 2-(1,8-dihydroxy-3-methyl-9,10-dioxo-2-anthryl)-1,8-dihydroxy-3-methyl-anthracene-9,10-dione; AC1L9DAZ; C10308; CHEMBL516967",442728,506.10017,C30H18O8,VUPMYTWJSPRETC-UHFFFAOYSA-N,69429
Dynemicin A,Anthraquinones,Anthraquinones,"7-methoxy-2-methylene-3-oxo-4H-1,4-benzoxazine-5-carboxylic acid","Dynemicin A; 7-methoxy-2-methylene-3-oxo-4H-1,4-benzoxazine-5-carboxylic acid; C11471",5281927,537.105984,C30H19NO9,AFMYMMXSQGUCBK-CWSCUYGGSA-N,70492
Frangulin B,Anthraquinones,Anthraquinones,"3-[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)tetrahydrofuran-2-yl]oxy-1,8-dihydroxy-6-methyl-anthracene-9,10-dione","Frangulin B; 3-[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)tetrahydrofuran-2-yl]oxy-1,8-dihydroxy-6-methyl-anthracene-9,10-dione; AC1L9DBZ; C10349; SureCN1426453; CHEMBL496999; CHEBI:601858",442744,402.095085,C20H18O9,AEQMIFRODRFTJF-SLFFLAALSA-N,69437
Granaticin,Anthraquinones,Anthraquinones,"(3aS,8S,9R,13bS,15R)-7,8,12,15-tetrahydroxy-5,9-dimethyl-3,3a,5,8,11,13b-hexahydro-8,11-ethanofuro[3,2-b]pyrano[4',3':6,7]naphtho[2,3-d]pyran-2,6,13(9H)-trione","(1R,7S,11S,19S,20R,23R)-3,17,19,23-tetrahydroxy-13,20-dimethyl-8,12,21-trioxahexacyclo[17.2.2.0(2,18).0(4,16).0(6,14).0(7,11)]tricosa-2(18),3,6(14),16-tetraene-5,9,15-trione; Granaticin; Granaticin A; Granatomycin C; Litmomycin; Litomycin",441183,442.126385,C23H22O9,XBQGBYOGCGGNHG-LTTZROAUSA-N,53208
Mitoxantrone,Anthraquinones,Anthraquinones,"1,4-dihydroxy-5,8-bis({2-[(2-hydroxyethyl)amino]ethyl}amino)-9,10-dihydroanthracene-9,10-dione",Mitoxantrone,4212,444.200886,C22H28N4O6,KKZJGLLVHKMTCM-UHFFFAOYSA-N,43418
Alizarin,Anthraquinones,Hydroxyanthraquinones,"1,2-dihydroxyanthracene-9,10-dione","Alizarin; 1,2-dihydroxyanthracene-9,10-dione; 1,2-Anthraquinonediol; 1,2-dihydroxy-9,10-anthraquinone; 1,2-dihydroxyanthra-9,10-quinone; Alizarin B; Alizarin Red; Az; Mordant Red 11; Turkey Red; alizarin",6293,240.04226,C14H8O4,RGCKGOZRHPZPFP-UHFFFAOYSA-N,50680
Altersolanol A,Anthraquinones,Hydroxyanthraquinones,"(1S,2R,3S,4R)-1,2,3,4,8-pentahydroxy-6-methoxy-3-methyl-2,4-dihydro-1H-anthracene-9,10-dione","Altersolanol A; (1S,2R,3S,4R)-1,2,3,4,8-pentahydroxy-6-methoxy-3-methyl-2,4-dihydro-1H-anthracene-9,10-dione; AC1L3IB0; AC1Q6I5J",89644,336.08452,C16H16O8,VSMBLBOUQJNJIL-JJXSEGSLSA-N,67975
Chrysoobtusin,Anthraquinones,Hydroxyanthraquinones,"2-hydroxy-1,6,7,8-tetramethoxy-3-methyl-9,10-dihydroanthracene-9,10-dione",Chrysoobtusin,155381,358.105255,C19H18O7,ZMDXTRSTKHTSCE-UHFFFAOYSA-N,46428
Purpurin,Anthraquinones,Hydroxyanthraquinones,"1,2,4-trihydroxyanthracene-9,10-dione","Purpurin; 1,2,4-trihydroxyanthracene-9,10-dione; 1,2,4-Trihydroxyanthrachinon; 1,2,4-trihydroxy-9,10-anthracenedione; 1,2,4-trihydroxy-9,10-anthraquinone; 1,2,4-trihydroxyanthra-9,10-quinone; 1,2,4-trihydroxyanthraquinone; C.I. 58205; Pr; Purpurin; hydroxylizaric",6683,256.037175,C14H8O5,BBNQQADTFFCFGB-UHFFFAOYSA-N,53399
Atherospermidine,Aporphines,Aporphines,"4-methoxy-8H-[1,3]benzodioxolo[6,5,4-de]benzo[g]quinolin-8-one","Atherospermidine; 4-methoxy-8H-[1,3]benzodioxolo[6,5,4-de]benzo[g]quinolin-8-one; 4,5,6,6a-tetradehydro-3-methoxy-1,2-(methylenedioxy)-noraporphin-7-one; 4-methoxy-8H-benzo(g)-1,3-benzodioxolo(6,5,4-de)quinolin-8-one",77514,305.068809,C18H11NO4,MDFFNDBAEOHIDY-UHFFFAOYSA-N,51846
1-Methylhistamine,Aralkylamines,Aralkylamines,2-(1-methyl-1H-imidazol-4-yl)ethan-1-amine,,3614,125.095297,C6H11N3,FHQDWPCFSJMNCT-UHFFFAOYSA-N,37490
2-Phenylacetamide,Aralkylamines,Aralkylamines,2-phenylacetamide,"2-Phenylacetamide; 2-phenylacetamide; 2-PHENYLACETAMIDE; Benzeneacetamide; Phenylacetamide; alpha-Toluamide; alpha-Phenylacetamide; Acetamide, 2-phenyl-; Phenylacetic acid amide; Phenyl-beta-acetylamine; 2-phenyl-Acetamide; Benzeneacetamide; 2-Phenylacetamide",7680,135.068414,C8H9NO,LSBDFXRDZJMBSC-UHFFFAOYSA-N,41115
3-Methylhistamine,Aralkylamines,Aralkylamines,2-(1-methyl-1H-imidazol-5-yl)ethan-1-amine,"3-Methylhistamine; 2-(1-methyl-1H-imidazol-5-yl)ethan-1-amine; 3-Methylhistamine; Tau-methylhistamine; N-Tau-methylhistamine; L-histamine deriv. 1; 2-(3-methylimidazol-4-yl)ethanamine; 1H-Imidazole-5-ethanamine, 1-methyl-; Imidazole, 5-(2-aminoethyl)-1-methyl-; A",69520,125.095297,C6H11N3,CPAGZVLINCPJEH-UHFFFAOYSA-N,37897
Histamine,Aralkylamines,Aralkylamines,2-(1H-imidazol-4-yl)ethan-1-amine,Histamine; 2-(1H-imidazol-4-yl)ethan-1-amine; histamine; 1H-Imidazole-4-ethanamine; 2-(4-Imidazolyl)ethylamine; 2-(1H-imidazol-5-yl)ethanamine; Ergotidine; Ergamine; Theramine; Eramin; 5-Imidazoleethylamine; 1H-Imidazole-4-ethanamine; 2-(1H-Imidazol-4-yl)ethanamine,774,111.079647,C5H9N3,NTYJJOPFIAHURM-UHFFFAOYSA-N,37476
Histidinal,Aralkylamines,Aralkylamines,2-amino-3-(1H-imidazol-4-yl)propanal,Histidinal,775,139.074562,C6H9N3O,VYOIELONWKIZJS-UHFFFAOYSA-N,41934
L-Histidinol,Aralkylamines,Aralkylamines,(2S)-2-amino-3-(1H-imidazol-5-yl)propan-1-ol,"L-Histidinol; (2S)-2-amino-3-(1H-imidazol-5-yl)propan-1-ol; histidinol; L-histidinol; Imidazole C-4(5) deriv. 4; CHEBI:16255; (2s)-2-amino-3-(1h-imidazol-4-yl)-1-propanol; (S)-beta-Amino-1H-imidazole-4-propanol; ST069311; 1H-Imidazole-4-propanol, beta-amino-, (S)",165271,141.090212,C6H11N3O,ZQISRDCJNBUVMM-YFKPBYRVSA-N,38331
N-Acetylhistamine,Aralkylamines,Aralkylamines,N-[2-(1H-imidazol-4-yl)ethyl]acetamide,N-acetylhistidine; N(2)-acetyl-L-histidine; N-Acetylhistidine;N-Hydroxy-aabp; ZINC34294797; FT-0643966; N-Acetyl-L-histidine; N-Acetylhistidine; CHEBI:16437; SBB057565; N2-Acetylhistidine; (2S)-2-acetamido-3-(1H-imidazol-5-yl)propanoic acid; (S)-2-ACETAMIDO-3-(1H-I,69602,153.090212,C7H11N3O,XJWPISBUKWZALE-UHFFFAOYSA-N,42275
N-Acetyltranylcypromine,Aralkylamines,Aralkylamines,N-(2-phenylcyclopropyl)acetamide,"N-Acetyltranylcypromine; N-(2-phenylcyclopropyl)acetamide; N-(2-Phenylcyclopropyl)acetamide; Acetamide, N-(2-phenylcyclopropyl)-; Tranylcypromine acetate; N-A-Tcp; N-Acetyltranylcypromine; AC1LBIMY; N-Acetyl-tranylcypromine; AGN-PC-0BZXET; AGN-PC-0OKP8O; N-(2-Pheny",583384,175.099714,C11H13NO,OKNYZIGDRLPEEJ-UHFFFAOYSA-N,71718
Pirbuterol,Aralkylamines,Aralkylamines,6-[2-(tert-butylamino)-1-hydroxyethyl]-2-(hydroxymethyl)pyridin-3-ol,"Pirbuterol; 6-[2-(tert-butylamino)-1-hydroxyethyl]-2-(hydroxymethyl)pyridin-3-ol; PIRBUTEROL; pyrbuterol; Maxair; Pirbuterolum; Pirbuterolum [INN-Latin]; pirbuterol acetate salt; Pirbuterol [INN:BAN]; Pirbuterol (INN); UNII-OG645J8RVW; 2,6-Pyridinedimethanol, alpha",4845,240.147393,C12H20N2O3,VQDBNKDJNJQRDG-UHFFFAOYSA-N,43483
Porphobilinogen,Aralkylamines,Aralkylamines,3-[5-(aminomethyl)-4-(carboxymethyl)-1H-pyrrol-3-yl]propanoic acid,"Porphobilinogen; 3-[5-(aminomethyl)-4-(carboxymethyl)-1H-pyrrol-3-yl]propanoic acid; porphobilinogen; UNII-74KHC72QXK; 5-(aminomethyl)-4-(carboxymethyl)-pyrrole-3-propionic acid; 2-aminomethylpyrrol-3-acetic acid 4-propionic acid; 1H-Pyrrole-3-propanoic acid,",1021,226.095358,C10H14N2O4,QSHWIQZFGQKFMA-UHFFFAOYSA-N,37157
Pramipexole,Aralkylamines,Aralkylamines,"(6S)-6-N-propyl-4,5,6,7-tetrahydro-1,3-benzothiazole-2,6-diamine",,119570,211.114318,C10H17N3S,FASDKYOPVNHBLU-ZETCQYMHSA-N,42773
Ranitidine,Aralkylamines,Aralkylamines,dimethyl[(5-{[(2-{[(E)-1-(methylamino)-2-nitroethenyl]amino}ethyl)sulfanyl]methyl}furan-2-yl)methyl]amine,,3001055,314.141261,C13H22N4O3S,VMXUWOKSQNHOCA-UKTHLTGXSA-N,37937
N-methylaniline,Aralkylamines,Phenylalkylamines,N-methylaniline,"N-methylaniline; N-methylaniline; methyl(phenyl)amine; N-METHYLANILINE; Monomethylaniline; N-Methyl aniline; Methylaniline; Benzenamine, N-methyl-; N-Methylbenzenamine; N-Monomethylaniline; (Methylamino)benzene; Methylphenylamine; N-Methylaniline; Benzenamine, N-meth",7515,107.073499,C7H9N,AFBPFSWMIHJQDM-UHFFFAOYSA-N,49836
7-Chloroemodin,Aromatic polyketides,Anthracenes and phenanthrenes,,7-Chloroemodin,442729,304.013853,C15H9ClO5,AVSZOSVPTLSHOV-UHFFFAOYSA-N,27918
Rhein,Aromatic polyketides,Anthracenes and phenanthrenes,,"Rhein; N; Rhein; Rhubarb Yellow; Monorhein; Rheic acid; Cassic acid; 4,5-Dihydroxyanthraquinone-2-carboxylic acid; Chrysazin-3-carboxylic acid; Rheinic acid; Rhein(Monorhein); 4,5-Dihydroxy-9,10-dioxo-9,10-dihydro-2-anthracenecarboxylic acid; 2-Anthracenecarboxylic",10168,284.03209,C15H8O6,FCDLCPWAQCPTKC-UHFFFAOYSA-N,27929
5-O-Methylvisamminol,Aromatic polyketides,Benzopyranoids,,5-O-Methylvisamminol,441970,290.115425,C16H18O5,DGFLRNOCLJGHLY-ZDUSSCGKSA-N,27987
Khellin,Aromatic polyketides,Benzopyranoids,,Khellin,3828,260.068475,C14H12O5,HSMPDPBYAYSOBC-UHFFFAOYSA-N,27986
Visnagin,Aromatic polyketides,Benzopyranoids,,"Visnagin; N; Visnagin; Desmethoxykhellin; Visnagidin; Visnagine; 5-Methoxy-2-methylfuranochromone; UNII-P64438MLBW; CHEMBL45176; CHEBI:10002; 4-Methoxy-7-methyl-5H-furo[3,2-g]chromen-5-one; 5H-Furo[3,2-g][1]benzopyran-5-one, 4-methoxy-7-methyl-; 4-Methoxy-7-methyl-",6716,230.05791,C13H10O4,NZVQLVGOZRELTG-UHFFFAOYSA-N,27988
Lecanoric acid,Aromatic polyketides,Depsides and depsidones,,"Lecanoric acid; N; Lecanoric acid; Lecanoricacid; CHEBI:15871; NSC 249981; BRN 2172778; 4-[(2,4-Dihydroxy-6-methylbenzoyl)oxy]-2-hydroxy-6-methylbenzoic acid; Benzoic acid, 4-[(2,4-dihydroxy-6-methylbenzoyl)oxy]-2-hydroxy-6-methyl-",99613,318.073955,C16H14O7,HEMSJKZDHNSSEW-UHFFFAOYSA-N,27941
Griseofulvin,Aromatic polyketides,"Dibenzofurans, griseofulvins, dibenzopyrans and xanthones",,Griseofulvin,441140,352.071368,C17H17ClO6,DDUHZTYCFQRHIY-RBHXEPJQSA-N,27937
Piceid,Aromatic polyketides,"Diphenyl ethers, biphenyls, dibenzyls and stilbenes",,"Piceid; N; Polydatin; 3,4,5-Trihydroxystilbene-3-beta-monoglucoside; Polydatin; Piceid; 3,4,5-Trihydroxystilbene-3-beta-monoglucoside; 3,4,5-Tsg; Trans-Piceid; CHEBI:8198; Resveratrol 3-beta-mono-D-glucoside; beta-D-Glucopyranoside, 3-hydroxy-5-[(E)-2-(4-hydroxyp",5281718,390.13147,C20H22O8,HSTZMXCBWJGKHG-CUYWLFDKSA-N,27953
Griseorhodin A,Aromatic polyketides,Naphthalenes and naphthoquinones,,"Griseorhodin A; N; Griseorhodin A; AGN-PC-0LPKI3; C12048; CHEBI:29606; LMPK13020001; Spiro[naphtho[2,3-b]furan-2(3H),2'(5'H)-oxireno[d]benzo[1,2-b:5,4-c']dipyran]-5,5',8-trione, 1'a,9'b-dihydro-3,4,4',9-tetrahydroxy-7-methoxy-7'-methyl-; 3,4,4',9-Tetrahydroxy-7",5282051,508.06418,C25H16O12,MRNNMFMPNANLHB-UHFFFAOYSA-N,27913
Karwinskione,Arylnaphthalene lignans,Arylnaphthalene lignans,"7-(7,9-dimethoxy-1,3-dimethyl-3,4-dihydro-1H-benzo[g]isochromen-5-yl)-3,8,9-trihydroxy-3-methyl-2,4-dihydroanthracen-1-one","Karwinskione; 7-(7,9-dimethoxy-1,3-dimethyl-3,4-dihydro-1H-benzo[g]isochromen-5-yl)-3,8,9-trihydroxy-3-methyl-2,4-dihydroanthracen-1-one; C09944; AC1L9D0E",442524,528.214805,C32H32O7,XFQXBYAOHZIDSQ-UHFFFAOYSA-N,69353
Catechol sulfate,Arylsulfates,Phenylsulfates,(2-hydroxyphenyl)oxidanesulfonic acid,,3083879,189.993597,C6H6O5S,MZPWKJZDOCIALD-UHFFFAOYSA-N,49749
2-aminobenzenesulfonic acid,Arylsulfonic acids and derivatives,"1-sulfo,2-unsubstituted aromatic compounds",2-aminobenzenesulfonic acid,2-aminobenzenesulfonic acid; 2-aminobenzenesulfonic acid; 1-aminobenzene-2-sulfonic acid;2-Aminobenzenesulfonic acid;2-sulfanilic acid;Orthanilic acid;aniline-o-sulfonic acid;aniline-o-sulphonic acid;o-Aminobenzenesulfonic acid;o-sulfanilic acid; 2-azaniumy,6926,173.014666,C6H7NO3S,ZMCHBSMFKQYNKA-UHFFFAOYSA-N,52837
4-hydroxybenzenesulfonic acid,Arylsulfonic acids and derivatives,"1-sulfo,2-unsubstituted aromatic compounds",,4-hydroxybenzenesulfonic acid; N; Hydroxybenzene-4-sulfonic acid;Phenolsulfonic acid;Sulfocarbolic acid;p-Hydroxybenzenesulfonic acid;p-Phenolsulfonic acid;p-Sulfophenol;p-hydroxybenzenesulfonic acid; 4-Hydroxybenzenesulfonic acid; p-Phenolsulfonic acid; 4-P,4765,173.998682,C6H6O4S,FEPBITJSIHRMRT-UHFFFAOYSA-N,54540
N-Undecylbenzenesulfonic acid,Arylsulfonic acids and derivatives,"1-sulfo,2-unsubstituted aromatic compounds",4-undecylbenzene-1-sulfonic acid,,38222,312.175916,C17H28O3S,UCDCOJNNUVYFKJ-UHFFFAOYSA-N,45596
Podophyllotoxone,Aryltetralin lignans,Aryltetralin lignans,"(5aR,8aR,9R)-9-(3,4,5-trimethoxyphenyl)-5a,6,8a,9-tetrahydroisobenzofuro[5,6-f][1,3]benzodioxole-5,8-dione","Podophyllotoxone; (5aR,8aR,9R)-9-(3,4,5-trimethoxyphenyl)-5a,6,8a,9-tetrahydroisobenzofuro[5,6-f][1,3]benzodioxole-5,8-dione; SureCN986475; AC1L9DV5; C10875",443014,412.11582,C22H20O8,ISCQYPPCSYRZOT-HDOPWBOFSA-N,69595
Fawcettidine,Azaspirodecane derivatives,Azaspirodecane derivatives,"(6S)-3,6-dimethyl-6,7-dihydro-5H-benzofuran-4-one",AC1L9CWE; C09862,442473,245.177964,C16H23NO,ANHVSCXCALAIQN-IATRGZMQSA-N,69326
Fawcettimine,Azaspirodecane derivatives,Azaspirodecane derivatives,"(6S)-3,6-dimethyl-6,7-dihydro-5H-benzofuran-4-one","Fawcettimine; (6S)-3,6-dimethyl-6,7-dihydro-5H-benzofuran-4-one; AC1L9CWK; SureCN14554631; AKOS015966653; C09864",442475,263.188529,C16H25NO2,ZLMYGBDFISIGLH-WALBABNVSA-N,69327
Lycoflexine,Azaspirodecane derivatives,Azaspirodecane derivatives,"(6S)-3,6-dimethyl-6,7-dihydro-5H-benzofuran-4-one","Lycoflexine; (6S)-3,6-dimethyl-6,7-dihydro-5H-benzofuran-4-one; AC1L9CXB; C09879",442486,275.188529,C17H25NO2,SJIMDGIDDDGXLI-NZVSHHPYSA-N,69332
Serratine,Azaspirodecane derivatives,Azaspirodecane derivatives,"(1S,6S)-3-isopropylidene-6-methyl-7-oxabicyclo[4.1.0]heptan-2-one",AC1L9CYH; C09901,442500,279.183444,C16H25NO3,SWDKDXWGADMDSP-JUWYFSIDSA-N,69339
2-Hydroxybenzaldehyde,Benzaldehydes,Hydroxybenzaldehydes,2-hydroxybenzaldehyde,"2-Hydroxybenzaldehyde; 2-hydroxybenzaldehyde; SALICYLALDEHYDE; 2-Hydroxybenzaldehyde; Benzaldehyde, 2-hydroxy-; o-Hydroxybenzaldehyde; Salicylal; o-Formylphenol; 2-Formylphenol; Salicyladehyde; Salicylic aldehyde; Benzaldehyde, 2-hydroxy-; 2-Hydroxybenzaldehyde",6998,122.03678,C7H6O2,SMQUZDBALVYZAC-UHFFFAOYSA-N,46396
3-hydroxybenzaldehyde,Benzaldehydes,Hydroxybenzaldehydes,3-oxidanylbenzaldehyde,"3-hydroxybenzaldehyde; 3-oxidanylbenzaldehyde; 3-hydroxybenzaldehyde; 3-hydroxybenzaldehyde; m-Formylphenol; m-Hydroxybenzaldehyde; 3-Formylphenol; Benzaldehyde, 3-hydroxy-; meta-Hydroxybenzaldehyde; 3-HYDROXY-BENZALDEHYDE; Benzaldehyde, m-hydroxy-; CHEBI:16207; 3-H",101,122.03678,C7H6O2,IAVREABSGIHHMO-UHFFFAOYSA-N,49782
4-Hydroxybenzaldehyde,Benzaldehydes,Hydroxybenzaldehydes,4-hydroxybenzaldehyde,"4-Hydroxybenzaldehyde; 4-hydroxybenzaldehyde; 4-hydroxybenzaldehyde; p-Hydroxybenzaldehyde; 4-Formylphenol; p-Formylphenol; Benzaldehyde, 4-hydroxy-; p-Oxybenzaldehyde; Benzaldehyde, p-hydroxy-; 4-HYDROXY-BENZALDEHYDE; Parahydroxybenzaldehyde; 4-Hydroxybenzaldehyde",126,122.03678,C7H6O2,RGHHSNMVTDWUBI-UHFFFAOYSA-N,41494
Eutypine,Benzaldehydes,Hydroxybenzaldehydes,4-hydroxy-3-(3-methylbut-3-en-1-ynyl)benzaldehyde,Eutypine; 4-hydroxy-3-(3-methylbut-3-en-1-ynyl)benzaldehyde; 4-Hydroxy-3-(3-methyl-3-butene-1-ynyl)benzaldehyde; AC1L2VEO; CHEMBL501128; C08448,129326,186.06808,C12H10O2,SFCYVTIQMNZUCZ-UHFFFAOYSA-N,68173
Gentisate aldehyde,Benzaldehydes,Hydroxybenzaldehydes,"2,5-dihydroxybenzaldehyde",Gentisate aldehyde,70949,138.031695,C7H6O3,CLFRCXCBWIQVRN-UHFFFAOYSA-N,38450
Benzamide,Benzamides,Benzamides,benzamide,,2331,121.052764,C7H7NO,KXDAEFPNCMNJSK-UHFFFAOYSA-N,38526
"N,N-diethyl-m-toluamide",Benzamides,Benzamides,"N,N-diethyl-3-methylbenzamide","N,N-diethyl-m-toluamide; N,N-diethyl-3-methylbenzamide; 3-methyl-N,N-diethylbenzamide;DEET;Diethyltoluamide;N,N-Diethyl-m-toluamide;deet;diethyl toluamide; N,N-Diethyl-3-methylbenzamide; N,N-Diethyl-m-toluamide; DEET; Diethyltoluamide; Metadelphene; Flypel; Delph",4284,191.131014,C12H17NO,MMOXZBCLCQITDF-UHFFFAOYSA-N,50010
Procarbazine,Benzamides,Benzamides,4-[(2-methylhydrazin-1-yl)methyl]-N-(propan-2-yl)benzamide,"Procarbazine; 4-[(2-methylhydrazin-1-yl)methyl]-N-(propan-2-yl)benzamide; procarbazine; Procarbazin; Natulan; Ibenzmethyzin; Procarbazina; Procarbazinum; Procarbazin [German]; Procarbazinum [INN-Latin]; Procarbazina [INN-Spanish]; Benzamide, N-(1-methylethyl)-4-[(2",4915,221.152812,C12H19N3O,CPTBDICYNRMXFX-UHFFFAOYSA-N,43386
2-Methylhippuric acid,Benzamides,Hippuric acids,2-[(2-methylphenyl)formamido]acetic acid,,91637,193.073893,C10H11NO3,YOEBAVRJHRCKRE-UHFFFAOYSA-N,41498
3-Hydroxyhippuric acid,Benzamides,Hippuric acids,2-[(3-hydroxyphenyl)formamido]acetic acid,,450268,195.053159,C9H9NO4,XDOFWFNMYJRHEW-UHFFFAOYSA-N,38823
4-aminobenzoylglutamic acid,Benzamides,Hippuric acids,2-[(4-aminobenzoyl)amino]glutaric acid,4-aminobenzoylglutamic acid; 2-[(4-aminobenzoyl)amino]glutaric acid; p-Aminobenzoylglutamic acid; 2-[(4-aminobenzoyl)amino]pentanedioic acid; N-(4-Aminobenzoyl)-DL-Glutamic acid; N-(p-Aminobenzoyl)glutamic acid; 2-[(4-aminophenyl)formamido]pentanedioic acid; L-,65138,266.090273,C12H14N2O5,GADGMZDHLQLZRI-UHFFFAOYSA-N,71547
4-Aminohippuric acid,Benzamides,Hippuric acids,2-[(4-aminophenyl)formamido]acetic acid,"4-Aminohippuric acid; 2-[(4-aminophenyl)formamido]acetic acid; aminohippuric acid; 4-Aminohippuric acid; P-AMINOHIPPURIC ACID; N-(4-Aminobenzoyl)glycine; para-Aminohippuric acid; Glycine, N-(4-aminobenzoyl)-; Paha; Nefrotest; N-(p-Aminobenzoyl)glycine; N-(4-Aminobe",2148,194.069143,C9H10N2O3,HSMNQINEKMPTIC-UHFFFAOYSA-N,37899
4-Hydroxyhippuric acid,Benzamides,Hippuric acids,2-[(4-hydroxyphenyl)formamido]acetic acid,,151012,195.053158,C9H9NO4,ZMHLUFWWWPBTIU-UHFFFAOYSA-N,42473
5-aminosalicyluric acid,Benzamides,Hippuric acids,N-(5-amino-2-hydroxybenzoyl)glycine,"5-aminosalicyluric acid; N-(5-amino-2-hydroxybenzoyl)glycine; AGN-PC-0N31NR; CHEBI:68589; N-(5-amino-2-hydroxybenzoyl)glycine; Glycine, N-(5-amino-2-hydroxybenzoyl)-; Glycine, N-(5-amino-2-hydroxybenzoyl)-; N-(5-Amino-2-hydroxybenzoyl)glycine",10353049,210.064058,C9H10N2O4,HZXFAYOGIGTEDC-UHFFFAOYSA-N,65103
Folic acid,Benzamides,Hippuric acids,"(2S)-2-[(4-{[(2-amino-4-oxo-1,4-dihydropteridin-6-yl)methyl]amino}phenyl)formamido]pentanedioic acid","Folic acid; (2S)-2-[(4-{[(2-amino-4-oxo-1,4-dihydropteridin-6-yl)methyl]amino}phenyl)formamido]pentanedioic acid; folic acid; Folate; Pteroylglutamic acid; Folacin; Vitamin M; Folvite; Vitamin Bc; PteGlu; Acifolic; Folcidin; N-(4-{[(2-Amino-4-oxo-1,4-dihydro-6-pteri",6037,441.139683,C19H19N7O6,OVBPIULPVIDEAO-LBPRGKRZSA-N,37083
Methotrexate,Benzamides,Hippuric acids,"(2S)-2-[(4-{[(2,4-diaminopteridin-6-yl)methyl](methyl)amino}phenyl)formamido]pentanedioic acid",,126941,454.171316,C20H22N8O5,FBOZXECLQNJBKD-ZDUSSCGKSA-N,42898
Salicyluric acid,Benzamides,Hippuric acids,2-[(2-hydroxyphenyl)formamido]acetic acid,"Salicyluric acid; 2-[(2-hydroxyphenyl)formamido]acetic acid; Salicyluric acid; Salicylurate; Salicyloylglycine; o-Hydroxyhippuric acid; 2-Hydroxyhippuric acid; N-Salicyloylglycine; Glycine, N-(2-hydroxybenzoyl)-; HIPPURIC ACID, o-HYDROXY-; N-(2-Hydroxybenzoyl)glyc",10253,195.053159,C9H9NO4,ONJSZLXSECQROL-UHFFFAOYSA-N,37456
Iprobenfos,Benzene and substituted derivatives,Benzene and substituted derivatives,bis(propan-2-yl) (benzylsulfanyl)phosphonate,,33294,288.094902,C13H21O3PS,FCOAHACKGGIURQ-UHFFFAOYSA-N,45087
Mandelic acid,Benzene and substituted derivatives,Benzene and substituted derivatives,(2S)-2-hydroxy-2-phenylacetic acid,,439616,152.047345,C8H8O3,IWYDHOAUDWTVEP-ZETCQYMHSA-N,37375
Furosemide,Benzenesulfonamides,Aminobenzenesulfonamides,4-chloro-2-[(furan-2-ylmethyl)amino]-5-sulfamoylbenzoic acid,,3440,330.00772,C12H11N2O5SCl,ZZUFCTLCJUWOSV-UHFFFAOYSA-N,37940
