Reaction abbreviation,Reaction name,Reaction formula,Pathway,Lower bound (mmol/gdw/hr),Upper bound (mmol/gdw/hr),Gene-reaction-association,Conifdence score,Eco IDA,sbo Term,EC number,Notes,Reference,,
'FAOXC200180x','Beta oxidation of long chain fatty acid','nad[x] + coa[x] + o2[x] + h2o[x] + arachcoa[x]  => h[x] + nadh[x] + accoa[x] + h2o2[x] + stcoa[x] ','Fatty acid oxidation',0,1000,'(35.1) or (34.1)','4','3A0000000',176,'4.2.1.74',"'peroxisomal (very long chain FA) - in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) c20:0 -&gt; c18:0 4 step FAO lumped also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ'",'',,
'FAOXC2031836m','Beta oxidation of fatty acid','h2o[m] + coa[m] + nad[m] + fad[m] + dlnlcgcoa[m]  => h[m] + nadh[m] + accoa[m] + fadh2[m] + lnlncgcoa[m] ','Fatty acid oxidation',0,1000,'(3295.1 and 30.1 and 51.2) or (51.1 and 30.1 and 1962.1) or (51.1 and 3295.1 and 30.1) or (30.1 and 51.2 and 1962.1)','4','3A0000269',176,'4.2.1.74',"'c20:3 -&gt; c18:3 4 step FAO lumped also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ'",'',,
'FAOXC204','Beta oxidation of long chain fatty acid','9 h2o[m] + 9 coa[m] + 9 nad[m] + 5 fad[m] + arachdcoa[m]  => 9 h[m] + 9 nadh[m] + 10 accoa[m] + 5 fadh2[m] ','Fatty acid oxidation',0,1000,'(35.1) or (34.1)','4','3A0000269',176,'1.3.99.3',"'TV Other enzymes: 1.3.3.6, 4.2.1.74, 4.2.1.17, 1.1.1.35, 1.1.1.211'","'PMID:2565344,PMID:3035565'",,
'FAOXC204184m','Beta oxidation  fatty acid','h2o[m] + coa[m] + nad[m] + fad[m] + eicostetcoa[m]  => h[m] + nadh[m] + accoa[m] + fadh2[m] + strdnccoa[m] ','Fatty acid oxidation',0,1000,'(35.1) or (35.1) or (34.1) or (34.1)','4','3A0000000',176,'4.2.1.74',"'_1 rounds of beta ox c20:4 -&gt; c18:4 4 step FAO lumped for 2 rounds  also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ'",'',,
'FAOXC2051843m','Beta oxidation of fatty acid','h2o[m] + coa[m] + nad[m] + tmndnccoa[m]  => h[m] + nadh[m] + accoa[m] + strdnccoa[m] ','Fatty acid oxidation',0,1000,'(35.1) or (34.1)','4','3A0000000',176,'4.2.1.74',"'_1 round beta ox, 1 degree loss of sat -&gt; no fad oxidation peroxisomal (very long chain FA) c20:5,n-3 -&gt; c18:4, n-3 - final &apos;3&apos; in abbreviation indicates omega3 FA 4 step FAO lumped for 2 rounds  also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ'",'',,
'FAOXC2051843x','Beta oxidation of long chain fatty acid','nad[x] + coa[x] + h2o[x] + tmndnccoa[x]  => h[x] + nadh[x] + accoa[x] + strdnccoa[x] ','Fatty acid oxidation',0,1000,'(34.1) or (35.1)','4','3A0000269',176,'4.2.1.74',"'_1 round beta ox, 1 degree loss of sat -&gt; no fad oxidation - in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) peroxisomal (very long chain FA) c20:5,n-3 -&gt; c18:4, n-3 - final &apos;3&apos; in abbreviation indicates omega3 FA 4 step FAO lumped for 2 rounds  also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ'",'',,
'FAOXC2242046m','Beta oxidation of long chain fatty acid','h2o[m] + coa[m] + nad[m] + fad[m] + adrncoa[m]  => h[m] + nadh[m] + accoa[m] + fadh2[m] + arachdcoa[m] ','Fatty acid oxidation',0,1000,'(30.1 and 51.2 and 1962.1) or (51.1 and 3295.1 and 30.1) or (51.1 and 30.1 and 1962.1) or (3295.1 and 30.1 and 51.2)','4','3A0000000',176,'4.2.1.74',"'_1 round beta ox peroxisomal (very long chain FA) c22:4,n-6 -&gt; c20:4, n-6 - final &apos;6&apos; in abbreviation indicates omega6 FA 4 step FAO lumped for 2 rounds  also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ'",'',,
'FAOXC2242046x','Beta oxidation of long chain fatty acid','nad[x] + coa[x] + o2[x] + h2o[x] + adrncoa[x]  => h[x] + nadh[x] + accoa[x] + h2o2[x] + arachdcoa[x] ','Fatty acid oxidation',0,1000,'(34.1) or (35.1)','4','3A0000269',176,'4.2.1.74',"'_1 round beta ox - in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) peroxisomal (very long chain FA) c22:4,n-6 -&gt; c20:4, n-6 - final &apos;6&apos; in abbreviation indicates omega6 FA 4 step FAO lumped for 2 rounds  also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ'",'',,
'FAOXC2251836m','Beta oxidation of fatty acid','2 h2o[m] + 2 coa[m] + 2 nad[m] + dcsptn1coa[m]  => 2 h[m] + 2 nadh[m] + 2 accoa[m] + lnlncgcoa[m] ','Fatty acid oxidation',0,1000,'(3295.1 and 30.1 and 51.2) or (51.1 and 30.1 and 1962.1) or (30.1 and 51.2 and 1962.1) or (51.1 and 3295.1 and 30.1)','4','3A0000000',176,'4.2.1.74',"'_2 rounds of beta-ox, plus a loss of 2 degrees of desatuartion, so no fad is oxidized peroxisomal (very long chain FA) c22:5,n-6 -&gt; c18:3, n-6 - final &apos;6&apos; in abbreviation indicates omega6 FA 4 step FAO lumped for 2 rounds  also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ'",'',,
'FAOXC2251836x','Beta oxidation of long chain fatty acid','2 nad[x] + 2 coa[x] + 2 h2o[x] + dcsptn1coa[x]  => 2 h[x] + 2 nadh[x] + 2 accoa[x] + lnlncgcoa[x] ','Fatty acid oxidation',0,1000,'(34.1) or (35.1)','4','3A0000000',176,'4.2.1.74',"'_2 rounds of beta-ox, plus a loss of 2 degrees of desatuartion, so no fad is oxidized - in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) peroxisomal (very long chain FA) c22:5,n-6 -&gt; c18:3, n-6 - final &apos;6&apos; in abbreviation indicates omega6 FA 4 step FAO lumped for 2 rounds  also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ'",'',,
'FAOXC2252053m','Beta oxidation of long chain fatty acid','o2[m] + h2o[m] + coa[m] + nad[m] + dcsptn1coa[m]  => h[m] + nadh[m] + accoa[m] + h2o2[m] + tmndnccoa[m] ','Fatty acid oxidation',0,1000,'(3295.1 and 30.1 and 51.2) or (51.1 and 30.1 and 1962.1) or (51.1 and 3295.1 and 30.1) or (30.1 and 51.2 and 1962.1)','4','3A0000000',176,'4.2.1.74',"'_1 round beta ox - c22:5,n-3 -&gt; c20:5, n-3 - final &apos;3&apos; in abbreviation indicates omega3 FA 4 step FAO lumped for 2 rounds  also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ'",'',,
'FAOXC2252053x','Beta oxidation of long chain fatty acid','nad[x] + coa[x] + o2[x] + h2o[x] + dcsptn1coa[x]  => h[x] + nadh[x] + accoa[x] + h2o2[x] + tmndnccoa[x] ','Fatty acid oxidation',0,1000,'(35.1) or (34.1)','4','3A0000000',176,'4.2.1.74',"'_1 round beta ox - in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) peroxisomal (very long chain FA) c22:5,n-3 -&gt; c20:5, n-3 - final &apos;3&apos; in abbreviation indicates omega3 FA 4 step FAO lumped for 2 rounds  also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ'",'',,
'FAOXC226','Beta oxidation of long chain fatty acid','10 h2o[m] + 10 coa[m] + 10 nad[m] + 4 fad[m] + c226coa[m]  => 10 h[m] + 10 nadh[m] + 11 accoa[m] + 4 fadh2[m] ','Fatty acid oxidation',0,1000,'(51.1 and 3295.1 and 30.1) or (30.1 and 51.2 and 1962.1) or (51.1 and 30.1 and 1962.1) or (3295.1 and 30.1 and 51.2)','4','3A0000000',176,'1.3.99.3',"'TV Other enzymes: 1.3.3.6, 4.2.1.74, 4.2.1.17, 1.1.1.35, 1.1.1.211'","'PMID:2565344,PMID:3035565'",,
'FAOXC226205m','Beta oxidation of long chain fatty acid','h2o[m] + coa[m] + nad[m] + c226coa[m]  => h[m] + nadh[m] + accoa[m] + tmndnccoa[m] ','Fatty acid oxidation',0,1000,'(35.1) or (34.1)','4','3A0000000',176,'4.2.1.74',"'_1 round of beta-oxidation, loses degree of desat, so no fad peroxisomal (very long chain FA) c22:6,n-3 -&gt; c20:5, n-3 4 step FAO lumped also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ'","'PMID:2565344,PMID:3035565'",,
'FAOXC226205x','Beta oxidation of long chain fatty acid','nad[x] + coa[x] + h2o[x] + c226coa[x]  => h[x] + nadh[x] + accoa[x] + tmndnccoa[x] ','Fatty acid oxidation',0,1000,'(35.1) or (34.1)','4','3A0000269',176,'4.2.1.74',"'_1 round of beta-oxidation, loses degree of desat, so no fad - in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) peroxisomal (very long chain FA) c22:6,n-3 -&gt; c20:5, n-3 4 step FAO lumped also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ'",'',,
'FAOXC240200x','Beta oxidation of long chain fatty acid','2 nad[x] + 2 coa[x] + 2 o2[x] + 2 h2o[x] + lgnccoa[x]  => 2 h[x] + 2 nadh[x] + 2 accoa[x] + 2 h2o2[x] + arachcoa[x] ','Fatty acid oxidation',0,1000,'(3295.1 and 30.1 and 51.2) or (51.1 and 3295.1 and 30.1) or (30.1 and 51.2 and 1962.1) or (51.1 and 30.1 and 1962.1)','4','3A0000000',176,'4.2.1.74',"'peroxisomal (very long chain FA) - in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) c24:0 -&gt; c20:0 4 step FAO lumped for 2 rounds  also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ'",'',,
'FAOXC241181x','Beta oxidation of long chain fatty acid','3 nad[x] + 3 coa[x] + 3 o2[x] + 3 h2o[x] + nrvnccoa[x]  => 3 h[x] + 3 nadh[x] + 3 accoa[x] + 3 h2o2[x] + odecoa[x] ','Fatty acid oxidation',0,1000,'(51.1 and 3295.1 and 30.1) or (30.1 and 51.2 and 1962.1) or (51.1 and 30.1 and 1962.1) or (3295.1 and 30.1 and 51.2)','4','3A0000269',176,'4.2.1.74',"'peroxisomal (very long chain FA) - in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) c24:1 -&gt; c18:1 - 3 rounds beta-ox 4 step FAO lumped also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ'",'',,
'FAOXC2442246x','Beta oxidation of long chain fatty acid','nad[x] + coa[x] + o2[x] + h2o[x] + tettet6coa[x]  => h[x] + nadh[x] + accoa[x] + h2o2[x] + adrncoa[x] ','Fatty acid oxidation',0,1000,'(3295.1 and 30.1 and 51.2) or (51.1 and 30.1 and 1962.1) or (51.1 and 3295.1 and 30.1) or (30.1 and 51.2 and 1962.1)','4','3A0000269',176,'4.2.1.74',"'_1 round beta ox - - in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) peroxisomal (very long chain FA) c24:4,n-6 -&gt; c22:4, n-6 - final &apos;6&apos; in abbreviation indicates omega6 FA 4 step FAO lumped for 2 rounds  also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ'",'',,
'FAOXC2452253x','Beta oxidation of long chain fatty acid','nad[x] + coa[x] + o2[x] + h2o[x] + tetpent3coa[x]  => h[x] + nadh[x] + accoa[x] + h2o2[x] + clpndcoa[x] ','Fatty acid oxidation',0,1000,'(51.1 and 3295.1 and 30.1) or (51.1 and 30.1 and 1962.1) or (30.1 and 51.2 and 1962.1) or (3295.1 and 30.1 and 51.2)','4','3A0000000',176,'4.2.1.74',"'- in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) confusing name, sorry - accounting for omega3 vs omega6 FA peroxisomal (very long chain FA) c24:5,n-3 -&gt; c22:5, n-3 4 step FAO lumped also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ'",'',,
'FAOXC2452256x','Beta oxidation of long chain fatty acid','nad[x] + coa[x] + o2[x] + h2o[x] + tetpent6coa[x]  => h[x] + nadh[x] + accoa[x] + h2o2[x] + dcsptn1coa[x] ','Fatty acid oxidation',0,1000,'(3295.1 and 30.1 and 51.2) or (30.1 and 51.2 and 1962.1) or (51.1 and 30.1 and 1962.1) or (51.1 and 3295.1 and 30.1)','4','3A0000000',176,'4.2.1.74',"'peroxisomal (very long chain FA) - - in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) c24:5,n-6 -&gt; c22:5, n-6 4 step FAO lumped also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ'",'',,
'FAOXC246226x','Beta oxidation of long chain fatty acid','nad[x] + coa[x] + o2[x] + h2o[x] + tethex3coa[x]  => h[x] + nadh[x] + accoa[x] + h2o2[x] + c226coa[x] ','Fatty acid oxidation',0,1000,'(3295.1 and 30.1 and 51.2) or (51.1 and 3295.1 and 30.1) or (30.1 and 51.2 and 1962.1) or (51.1 and 30.1 and 1962.1)','4','3A0000000',176,'4.2.1.74',"'peroxisomal (very long chain FA) - - in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) c24:6 -&gt; c22:6 4 step FAO lumped also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ'",'',,
'FAOXC260240x','Beta oxidation of long chain fatty acid','nad[x] + coa[x] + o2[x] + h2o[x] + hexccoa[x]  => h[x] + nadh[x] + accoa[x] + h2o2[x] + lgnccoa[x] ','Fatty acid oxidation',0,1000,'(3295.1 and 30.1 and 51.2) or (51.1 and 3295.1 and 30.1) or (30.1 and 51.2 and 1962.1) or (51.1 and 30.1 and 1962.1)','4','3A0000000',176,'4.2.1.74',"'peroxisomal (very long chain FA) - in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) c26:0 -&gt; c24:0 4 step FAO lumped also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 -&gt; into pmtcoa NJ'",'',,
'FAOXC80','Beta oxidation of med/long chain fatty acid','3 h2o[m] + 3 coa[m] + 3 nad[m] + 3 fad[m] + occoa[m]  => 3 h[m] + 3 nadh[m] + 4 accoa[m] + 3 fadh2[m] ','Fatty acid oxidation',0,1000,'(3295.1 and 30.1 and 51.2) or (51.1 and 30.1 and 1962.1) or (51.1 and 3295.1 and 30.1) or (30.1 and 51.2 and 1962.1)','4','3A0000269',176,'1.3.99.3',"'TDV (9/7/2004) Other enzymes: 1.3.3.6, 4.2.1.74, 4.2.1.17, 1.1.1.35, 1.1.1.211'","'PMID:2565344,PMID:3035565'",,
'FAS100COA','fatty acyl-CoA synthase (n-C10:0CoA)','3 h[c] + 2 nadph[c] + malcoa[c] + occoa[c]  => h2o[c] + 2 nadp[c] + co2[c] + coa[c] + dcacoa[c] ','Fatty acid synthesis',0,1000,'(35.1) or (34.1)','4','3A0000269',176,'2.3.1.86','NCD',"'PMID:11756679,PMID:15507492,PMID:2669958'",,
'FAS120COA','fatty-acyl-CoA synthase (n-C12:0CoA)','3 h[c] + 2 nadph[c] + malcoa[c] + dcacoa[c]  => h2o[c] + 2 nadp[c] + co2[c] + coa[c] + ddcacoa[c] ','Fatty acid synthesis',0,1000,'(2194.1)','4','3A0000269',176,'2.3.1.86','NCD',"'PMID:11756679,PMID:15507492'",,
'FAS140COA','fatty-acyl-CoA synthase (n-C14:0CoA)','3 h[c] + 2 nadph[c] + malcoa[c] + ddcacoa[c]  => h2o[c] + 2 nadp[c] + co2[c] + coa[c] + tdcoa[c] ','Fatty acid synthesis',0,1000,'(2194.1)','4','3A0000269',176,'2.3.1.86','NCD',"'PMID:11756679,PMID:15507492,PMID:2669958'",,
'FAS160COA','fatty-acyl-CoA synthase (n-C16:0CoA)','3 h[c] + 2 nadph[c] + malcoa[c] + tdcoa[c]  => h2o[c] + 2 nadp[c] + co2[c] + coa[c] + pmtcoa[c] ','Fatty acid synthesis',0,1000,'(2194.1)','4','3A0000269',176,'2.3.1.86','NCD',"'PMID:11756679,PMID:15507492,PMID:2669958'",,
'FAS180COA','fatty-acyl-CoA synthase (n-C18:0CoA)','3 h[c] + 2 nadph[c] + malcoa[c] + pmtcoa[c]  => h2o[c] + 2 nadp[c] + co2[c] + coa[c] + stcoa[c] ','Fatty acid synthesis',0,1000,'(2194.1)','4','3A0000269',176,'2.3.1.86','NCD',"'PMID:11756679,PMID:15507492,PMID:2669958'",,
'FAS80COA_L',"'fatty acyl-CoA synthase (n-C8:0CoA), lumped reaction'",'9 h[c] + 6 nadph[c] + accoa[c] + 3 malcoa[c]  => 3 h2o[c] + 6 nadp[c] + 3 co2[c] + 3 coa[c] + occoa[c] ','Fatty acid synthesis',0,1000,'(2194.1)','4','3A0000269',176,'2.3.1.86','NCD',"'PMID:11756679,PMID:15507492,PMID:2669958'",,
'FATP1t','fatty acid electroneutral transport','na1[c] + hdca[c]  <=> na1[e] + hdca[e] ',"'Transport, extracellular'",-1000,1000,'(2194.1)','4','3A0000269',185,'','electroneutral transport NJ',"'PMID:12856180,PMID:15522816,PMID:9878842'",,
'FATP2t','fatty acid electroneutral transport','na1[c] + ocdcea[c]  <=> na1[e] + ocdcea[e] ',"'Transport, extracellular'",-1000,1000,'(376497.2) or (10999.1) or (376497.1) or (11000.1)','4','3A0000269',185,'','electroneutral transport NJ',"'PMID:12856180,PMID:15522816'",,
'FATP3t','fatty acid electroneutral transport','na1[c] + ocdca[c]  <=> na1[e] + ocdca[e] ',"'Transport, extracellular'",-1000,1000,'(376497.1) or (376497.2)','4','3A0000269',185,'','electroneutral transport NJ',"'PMID:12856180,PMID:15522816'",,
'FATP4t','fatty acid electroneutral transport','na1[c] + arach[c]  <=> na1[e] + arach[e] ',"'Transport, extracellular'",-1000,1000,'(376497.1) or (376497.2)','4','3A0000269',185,'','electroneutral transport NJ',"'PMID:10479480,PMID:12856180,PMID:15522816'",,
'FATP5t','fatty acid electroneutral transport','na1[c] + arachd[c]  <=> na1[e] + arachd[e] ',"'Transport, extracellular'",-1000,1000,'(10998.1)','4','3A0000269',185,'','electroneutral transport NJ',"'PMID:10479480,PMID:12856180,PMID:15522816'",,
'FATP6t','fatty acid electroneutral transport','na1[c] + adrn[c]  <=> na1[e] + adrn[e] ',"'Transport, extracellular'",-1000,1000,'(10998.1)','4','3A0000269',185,'','electroneutral transport NJ',"'PMID:10479480,PMID:12856180,PMID:15522816'",,
'FATP7t','fatty acid electroneutral transport','na1[c] + crvnc[c]  <=> na1[e] + crvnc[e] ',"'Transport, extracellular'",-1000,1000,'(10998.1) or (11001.1)','4','3A0000000',185,'','electroneutral transport NJ',"'PMID:10479480,PMID:12856180,PMID:15522816'",,
'FATP8t','fatty acid electroneutral transport','na1[c] + lgnc[c]  <=> na1[e] + lgnc[e] ',"'Transport, extracellular'",-1000,1000,'(10998.1) or (11001.1)','4','3A0000269',185,'','electroneutral transport NJ',"'PMID:10479480,PMID:12856180,PMID:15522816'",,
'FATP9t','fatty acid electroneutral transport','na1[c] + nrvnc[c]  <=> na1[e] + nrvnc[e] ',"'Transport, extracellular'",-1000,1000,'(10998.1) or (11001.1)','4','3A0000269',185,'','electroneutral transport NJ',"'PMID:10479480,PMID:12856180,PMID:15522816'",,
'FBA','fructose-bisphosphate aldolase','fdp[c]  <=> dhap[c] + g3p[c] ','Glycolysis/gluconeogenesis',-1000,1000,'(10998.1) or (11001.1)','0','3A0000134',176,'4.1.2.13','6765112 - fluorescence of presence in human brain',"'PMID:12626877,PMID:6765112'",,
'FBA2','D-Fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase','f1p[c]  <=> dhap[c] + glyald[c] ','Fructose and mannose metabolism',-1000,1000,'(226.2) or (226.1) or (226.3) or (230.1) or (229.1)','2','3A0000304',176,'4.1.2.13','NCD','',,
'FBA4','D-Fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase','xu1p_D[c]  <=> dhap[c] + gcald[c] ','Glyoxylate and dicarboxylate metabolism',-1000,1000,'(226.2) or (226.1) or (226.3) or (229.1) or (230.1)','4','3A0000269',176,'4.1.2.13','NCD',"'PMID:2996495,PMID:6284103,PMID:6298387'",,
'FBA5','D-Tagatose 1-phosphate D-glyceraldehyde-3-phosphate-lyase','tag1p_D[c]  <=> dhap[c] + glyald[c] ','Galactose metabolism',-1000,1000,'(226.2) or (229.1) or (226.3) or (230.1) or (226.1)','4','3A0000269',176,'4.1.2.13','NCD',"'PMID:2996495,PMID:6284103,PMID:6298387'",,
'FBP','fructose-bisphosphatase','h2o[c] + fdp[c]  => pi[c] + f6p[c] ','Glycolysis/gluconeogenesis',0,1000,'(229.1)','0','3A0000000',176,'3.1.3.11','SMP','PMID:9678974',,
'FBP26',"'Fructose-2,6-bisphosphate 2-phosphatase'",'h2o[c] + f26bp[c]  => pi[c] + f6p[c] ','Fructose and mannose metabolism',0,1000,'(2203.1) or (8789.1)','0','3A0000000',176,'3.1.3.46','IF','',,
'FCLTm',"'Ferrochelatase, mitochondrial'",'fe2[m] + ppp9[m]  => 2 h[m] + pheme[m] ','Heme synthesis',0,1000,'(2203.1) or (5210.1) or (5207.1) or (5209.1) or (5208.1) or (8789.1)','2','3A0000304',176,'4.99.1.1','NCD; r0096','PMID:7983009',,
'FCOAH','formyl coa hydrolase','h2o[c] + formcoa[c]  => h[c] + coa[c] + for[c] ','Fatty acid oxidation',0,1000,'(2235.1) or (2235.2)','2','3A0000000',176,'','Note - formcoa formula is uncharged - the correct is FACOAH2 w/ forcoa NJ',"'PMID:11341778,PMID:11591435'",,
'FDH','formate dehydrogenase','nad[c] + for[c]  => nadh[c] + co2[c] ','Fatty acid oxidation',0,1000,'','2','3A0000304',176,'1.2.1.2','','',,
'FE2t','iron (II) transport','fe2[e]  => fe2[c] ',"'Transport, extracellular'",0,1000,'(10840.1)','4','3A0000000',185,'','','PMID:12440707',,
'FE2tm','iron (II) transport','h[c] + fe2[c]  => h[m] + fe2[m] ',"'Transport, mitochondrial'",0,1000,'','2','3A0000000',185,'',"'TDV Lange H, 1999.'","'PMID:10383398,PMID:12755454'",,
'FE3R2e','Fe(III) reduction (ascorbate)','ascb_L[e] + 2 fe3[e]  => h[e] + dhdascb[e] + 2 fe2[e] ','Heme synthesis',0,1000,'','4','3A0000269',176,'','stoichiometry unknown; inferred from EC1.16.1.7 NCD',"'PMID:11230685,PMID:12755454'",,
'FK','Fucokinase','atp[c] + fuc_L[c]  => adp[c] + h[c] + fuc1p_L[c] ','Fructose and mannose metabolism',0,1000,'(79901.1)','0','3A0000000',176,'2.7.1.52','kh 1/6/03 NCD','',,
'FKYNH','N-Formyl-L-kynurenine amidohydrolase','h2o[c] + Lfmkynr[c]  => h[c] + for[c] + Lkynr[c] ','Tryptophan metabolism',0,1000,'(197258.1)','4','3A0000000',176,'3.5.1.9','NCD','',,
'FMNAT','FMN adenylyltransferase','atp[c] + h[c] + fmn[c]  => ppi[c] + fad[c] ','Vitamin B2 metabolism',0,1000,'','2','3A0000134',176,'2.7.7.2','Human Y/N: Y',"'PMID:16643857,PMID:17049878'",,
'FOLR2','folate reductase','nadph[c] + fol[c]  => nadp[c] + dhf[c] ','Folate metabolism',0,1000,'(80308.1) or (80308.2)','2','3A0000254',176,'','','',,
'FOLt2','folate transport via anion exchange','h2o[c] + fol[e]  <=> h2o[e] + fol[c] ',"'Transport, extracellular'",-1000,1000,'(1719.1)','4','3A0000269',185,'','IT',"'PMID:11375437,PMID:14770311'",,
'FORMCOAtx','formyl coa transport','formcoa[x]  <=> formcoa[c] ',"'Transport, peroxisomal'",-1000,1000,'(6573.1) or (6573.2)','2','3A0000000',185,'','unknown mechanism see Verhoeven 11591435 and clayton 11356171 - added for peroxisomal oxidation of fatty acids NJ','',,
'FORt2m','formate mitochondrial transport','for[m]  <=> for[c] ',"'Transport, mitochondrial'",-1000,1000,'','1','3A0000000',185,'',"'NCD,IT'",'',,
'FORtr',"'FOR transporter, endoplasmic reticulum'",'for[c]  <=> for[r] ',"'Transport, endoplasmic reticular'",-1000,1000,'','1','3A0000000',185,'','diffusion NJ','',,
'FORtrn',"'Formate transport, nuclear'",'for[c]  <=> for[n] ',"'Transport, nuclear'",-1000,1000,'','2','3A0000000',185,'','IT','',,
'FPGS','folylpolyglutamate synthetase','atp[c] + 4 glu_L[c] + thf[c]  => 3 h2o[c] + adp[c] + h[c] + pi[c] + 5thf[c] ','Folate metabolism',0,1000,'','4','3A0000000',176,'6.3.2.17','IT','PMID:10777604',,
'FPGS2','folylpolyglutamate synthetase','atp[c] + glu_L[c] + 5thf[c]  => adp[c] + h[c] + pi[c] + 6thf[c] ','Folate metabolism',0,1000,'(2356.1)','4','3A0000000',176,'6.3.2.17','IT','PMID:10777604',,
'FPGS2m',"'folylpolyglutamate synthetase, mitochondrial'",'glu_L[m] + 5thf[m] + atp[m]  => h[m] + 6thf[m] + adp[m] + pi[m] ','Folate metabolism',0,1000,'(2356.1)','4','3A0000000',176,'6.3.2.17','IT','PMID:10777604',,
'FPGS3','folylpolyglutamate synthetase','atp[c] + glu_L[c] + 6thf[c]  => adp[c] + h[c] + pi[c] + 7thf[c] ','Folate metabolism',0,1000,'(2356.1)','4','3A0000000',176,'6.3.2.17','IT','PMID:10777604',,
'FPGS3m',"'folylpolyglutamate synthetase, mitochondrial'",'glu_L[m] + 6thf[m] + atp[m]  => h[m] + 7thf[m] + adp[m] + pi[m] ','Folate metabolism',0,1000,'(2356.1)','4','3A0000000',176,'6.3.2.17','IT','PMID:10777604',,
'FPGS4','folylpolyglutamate synthetase (DHF)','atp[c] + 4 glu_L[c] + dhf[c]  => 3 h2o[c] + adp[c] + h[c] + pi[c] + 5dhf[c] ','Folate metabolism',0,1000,'(2356.1)','4','3A0000269',176,'6.3.2.17','IT','PMID:10777604',,
'FPGS4m',"'folylpolyglutamate synthetase (DHF), mitochondrial'",'4 glu_L[m] + atp[m] + dhf[m]  => h[m] + 3 h2o[m] + adp[m] + pi[m] + 5dhf[m] ','Folate metabolism',0,1000,'(2356.1)','4','3A0000000',176,'6.3.2.17','IT','PMID:10777604',,
'FPGS5','folylpolyglutamate  synthetase (DHF)','atp[c] + glu_L[c] + 5dhf[c]  => adp[c] + h[c] + pi[c] + 6dhf[c] ','Folate metabolism',0,1000,'(2356.1)','4','3A0000000',176,'6.3.2.17','IT','PMID:10777604',,
