reaction_id,reaction_abbreviation,reaction_name,reaction_reversible,reaction_formula,reaction_formula_w/name,Conifdence score
2373,LCADi_D,lactaldehyde dehydrogenase,0,h2o[c] + nad[c] + lald_D[c]  => 2 h[c] + nadh[c] + lac_D[c] ,Water+Nicotinamide adenine dinucleotide+(R)-lactaldehyde = > 2proton+Nicotinamide adenine dinucleotide - reduced+(R)-lactate,2
2374,LCADi_Dm,"lactaldehyde dehydrogenase, mitochondrial",0,h2o[m] + nad[m] + lald_D[m]  => 2 h[m] + nadh[m] + lac_D[m] ,Water+Nicotinamide adenine dinucleotide+(R)-lactaldehyde = > 2proton+Nicotinamide adenine dinucleotide - reduced+(R)-lactate,2
2375,LCADim,"lactaldehyde dehydrogenase, mitochondrial",0,h2o[m] + nad[m] + lald_L[m]  => 2 h[m] + nadh[m] + lac_L[m] ,Water+Nicotinamide adenine dinucleotide+(S)-lactaldehyde = > 2proton+Nicotinamide adenine dinucleotide - reduced+(S)-lactate,2
2376,LCAT1e,Lecithin-cholesterol acyltransferase,0,chsterol[e] + pchol_hs[e]  => lpchol_hs[e] + xolest2_hs[e] ,cholesterol+Phosphatidylcholine = > lysophosphatidylcholine+cholesterol ester,4
2377,LCTStg,lactose transport from Golgi to extracellular (via vesicle),0,lcts[g]  => lcts[e] ,Lactose = > Lactose,2
2378,LCTStl,lactose transport from cytosol to lysosome (via autophagocytosis),0,lcts[c]  => lcts[l] ,Lactose = > Lactose,2
2379,LCYSTAT,L-Cysteate:2-oxoglutarate aminotransferase,1,Lcyst[c] + akg[c]  <=> glu_L[c] + 3spyr[c] ,L-cysteate(1-)+2-Oxoglutarate <  = > L-glutamate(1-)+3-sulfonatopyruvate(2-),2
2380,LCYSTATm,"L-Cysteate:2-oxoglutarate aminotransferase, mitochondrial",1,akg[m] + Lcyst[m]  <=> glu_L[m] + 3spyr[m] ,2-Oxoglutarate+L-cysteate(1-) <  = > L-glutamate(1-)+3-sulfonatopyruvate(2-),2
2381,LCYSTCBOXL,3-Sulfoalanine carboxy-lyase,0,h[c] + Lcyst[c]  => co2[c] + taur[c] ,proton+L-cysteate(1-) = > carbon dioxide+Taurine,4
2382,LDH_D,D-lactate dehydrogenase,1,nad[c] + lac_D[c]  <=> h[c] + pyr[c] + nadh[c] ,Nicotinamide adenine dinucleotide+(R)-lactate <  = > proton+pyruvate+Nicotinamide adenine dinucleotide - reduced,2
2383,LDH_L,L-lactate dehydrogenase,1,nad[c] + lac_L[c]  <=> h[c] + pyr[c] + nadh[c] ,Nicotinamide adenine dinucleotide+(S)-lactate <  = > proton+pyruvate+Nicotinamide adenine dinucleotide - reduced,0
2384,LDH_Lm,L-lactate dehydrogenase,1,nad[m] + lac_L[m]  <=> h[m] + nadh[m] + pyr[m] ,Nicotinamide adenine dinucleotide+(S)-lactate <  = > proton+Nicotinamide adenine dinucleotide - reduced+pyruvate,4
2385,LEUKTRA4t,leukotriene A4 transport,1,leuktrA4[e]  <=> leuktrA4[c] ,leukotriene A4(1-) <  = > leukotriene A4(1-),2
2386,LEUKTRA4tr,leukotriene intracellular transport,1,leuktrA4[c]  <=> leuktrA4[r] ,leukotriene A4(1-) <  = > leukotriene A4(1-),1
2387,LEUKTRB4t,leukotriene B4 transport,1,leuktrB4[e]  <=> leuktrB4[c] ,leukotriene B4(1-) <  = > leukotriene B4(1-),2
2388,LEUKTRB4tr,leukotriene intracellular transport,1,leuktrB4[c]  <=> leuktrB4[r] ,leukotriene B4(1-) <  = > leukotriene B4(1-),1
2389,LEUKTRC4t,leukotriene C4 transport via bicarbonate countertransport,1,hco3[c] + leuktrC4[e]  <=> hco3[e] + leuktrC4[c] ,Bicarbonate+leukotriene C4(2-) <  = > Bicarbonate+leukotriene C4(2-),4
2390,LEUKTRD4t,leukotriene D4 transport,1,leuktrD4[e]  <=> leuktrD4[c] ,Leukotriene D4 <  = > Leukotriene D4,2
2391,LEUKTRD4tr,leukotriene intracellular transport,1,leuktrD4[c]  <=> leuktrD4[r] ,Leukotriene D4 <  = > Leukotriene D4,1
2392,LEUKTRE4t,leukotriene E4 transport,1,leuktrE4[e]  <=> leuktrE4[c] ,leukotriene E4(1-) <  = > leukotriene E4(1-),2
2393,LEUKTRF4t,leukotriene F4 transport,1,leuktrF4[e]  <=> leuktrF4[c] ,leukotriene F4 <  = > leukotriene F4,2
2394,LEUt4,L-leucine transport in via sodium symport,0,na1[e] + leu_L[e]  => na1[c] + leu_L[c] ,Sodium+L-leucine = > Sodium+L-leucine,4
2395,LEUt5m,leucine mitochondrial transport,1,leu_L[c]  <=> leu_L[m] ,L-leucine <  = > L-leucine,4
2396,LEUTA,leucine transaminase,1,akg[c] + leu_L[c]  <=> glu_L[c] + 4mop[c] ,2-Oxoglutarate+L-leucine <  = > L-glutamate(1-)+4-methyl-2-oxopentanoate,4
2397,LEUTAm,"leucine transaminase, mitochondrial",1,akg[m] + leu_L[m]  <=> glu_L[m] + 4mop[m] ,2-Oxoglutarate+L-leucine <  = > L-glutamate(1-)+4-methyl-2-oxopentanoate,4
2398,LEUtec,L-leucine transport via diffusion (extracellular to cytosol),1,leu_L[e]  <=> leu_L[c] ,L-leucine <  = > L-leucine,4
2399,LFORKYNHYD,L-Formylkynurenine hydrolase,0,h2o[c] + Lfmkynr[c]  => h[c] + ala_L[c] + nformanth[c] ,Water+N-formyl-L-kynurenine = > proton+L-alanine+N-formylanthranilate,1
2400,LGNCCOAtx,fatty acid intracellular transport,1,lgnccoa[c]  <=> lgnccoa[x] ,lignocericyl coenzyme A <  = > lignocericyl coenzyme A,2
2401,LGNCCPT1,carnitine O-palmitoyltransferase,0,crn[c] + lgnccoa[c]  => coa[c] + lgnccrn[c] ,L-Carnitine+lignocericyl coenzyme A = > Coenzyme A+lignoceryl carnitine,4
2402,LGNCCPT2,transport into the mitochondria (carnitine),0,coa[m] + lgnccrn[m]  => crn[m] + lgnccoa[m] ,Coenzyme A+lignoceryl carnitine = > L-Carnitine+lignocericyl coenzyme A,4
2403,LGNCCRNt,transport into the mitochondria (carnitine),0,lgnccrn[c]  => lgnccrn[m] ,lignoceryl carnitine = > lignoceryl carnitine,4
2404,LGNCt,fatty acid transport via diffusion,1,lgnc[e]  <=> lgnc[c] ,lignocerate <  = > lignocerate,2
2405,LGTHL,lactoylglutathione lyase,0,mthgxl[c] + gthrd[c]  => lgt_S[c] ,methylglyoxal+Reduced glutathione = > (R)-S-lactoylglutathionate(1-),4
2406,LIMNENte,xenobiotic transport,1,limnen[e]  <=> limnen[c] ,limonene <  = > limonene,2
2407,LINKDEG1ly,"degradation of proteoglycan linkage region, lysosomal",0,3 h2o[l] + hs_deg25[l]  => 2 gal[l] + glcur[l] + xyl_D[l] ,"3Water+GlcA-beta-1,3-Gal-beta-1,3-Gal-beta-1,4-Xylose = > 2D-Galactose+D-glucuronate+aldehydo-D-xylose",2
2408,LINKDEG2ly,"degradation of proteoglycan linkage region, lysosomal",0,4 h2o[l] + cs_a_deg5[l]  => h[l] + so4[l] + 2 gal[l] + glcur[l] + xyl_D[l] ,"4Water+chondroitin sulfate A (GalNAc4S-GlcA), degradation product 5 = > proton+sulfate+2D-Galactose+D-glucuronate+aldehydo-D-xylose",2
2409,LINKDEG3ly,"degradation of proteoglycan linkage region, lysosomal",0,4 h2o[l] + cs_c_deg5[l]  => h[l] + so4[l] + 2 gal[l] + glcur[l] + xyl_D[l] ,"4Water+chondroitin sulfate C (GalNAc6S-GlcA), degradation product 5 = > proton+sulfate+2D-Galactose+D-glucuronate+aldehydo-D-xylose",2
2410,LINKDEG4ly,"degradation of proteoglycan linkage region, lysosomal",0,5 h2o[l] + cs_e_deg7[l]  => 2 h[l] + 2 so4[l] + 2 gal[l] + glcur[l] + xyl_D[l] ,"5Water+chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 7 = > 2proton+2sulfate+2D-Galactose+D-glucuronate+aldehydo-D-xylose",2
2411,LIPOti,Lipoate transport via sodium symport,0,h2o[c] + atp[c] + na1[e] + lipoate[e]  => adp[c] + h[c] + pi[c] + na1[c] + lipoate[c] ,Water+ATP+Sodium+lipoate = > ADP+proton+hydrogenphosphate+Sodium+lipoate,4
2412,L_LACDcm,"L-Lactate dehydrogenase, cytosolic/mitochondrial",0,2 ficytC[m] + lac_L[c]  => 2 h[c] + pyr[c] + 2 focytC[m] ,2Ferricytochrome c+(S)-lactate = > 2proton+pyruvate+2Ferrocytochrome C,2
2413,L_LACt2r,L-lactate reversible transport via proton symport,1,h[e] + lac_L[e]  <=> h[c] + lac_L[c] ,proton+(S)-lactate <  = > proton+(S)-lactate,4
2414,L_LACt4r,L-lactate reversible transport via sodium symport,1,na1[e] + lac_L[e]  <=> na1[c] + lac_L[c] ,Sodium+(S)-lactate <  = > Sodium+(S)-lactate,2
2415,L_LACtcm,L-lactate transport via diffusion (cytosol to mitochondria),0,lac_L[c]  => lac_L[m] ,(S)-lactate = > (S)-lactate,2
2416,L_LACtm,"L-lactate transport, mitochondrial",1,h[c] + lac_L[c]  <=> h[m] + lac_L[m] ,proton+(S)-lactate <  = > proton+(S)-lactate,0
2417,LNELDCCPT1,carnitine O-palmitoyltransferase,0,crn[c] + lneldccoa[c]  => coa[c] + lneldccrn[c] ,L-Carnitine+linoelaidyl coenzyme A = > Coenzyme A+Linoelaidyl carnitine,4
2418,LNELDCCPT2,carnitine transferase,0,coa[m] + lneldccrn[m]  => crn[m] + lneldccoa[m] ,Coenzyme A+Linoelaidyl carnitine = > L-Carnitine+linoelaidyl coenzyme A,4
2419,LNELDCCRNt,transport into the mitochondria (carnitine),0,lneldccrn[c]  => lneldccrn[m] ,Linoelaidyl carnitine = > Linoelaidyl carnitine,4
2420,LNELDCt,fatty acid transport via diffusion,1,lneldc[e]  <=> lneldc[c] ,linoelaidic acid (all trans C18:2) <  = > linoelaidic acid (all trans C18:2),2
2421,LNLCCPT1,carnitine O-palmitoyltransferase,0,crn[c] + lnlccoa[c]  => coa[c] + lnlccrn[c] ,L-Carnitine+linoleic coenzyme A = > Coenzyme A+Linoleyl carnitine,4
2422,LNLCCPT2,carnitine transferase,0,coa[m] + lnlccrn[m]  => crn[m] + lnlccoa[m] ,Coenzyme A+Linoleyl carnitine = > L-Carnitine+linoleic coenzyme A,4
2423,LNLCCRNt,transport into the mitochondria (carnitine),0,lnlccrn[c]  => lnlccrn[m] ,Linoleyl carnitine = > Linoleyl carnitine,4
2424,LNLCt,Linoleic acid (n-C18:2) transport in via diffusion,1,lnlc[e]  <=> lnlc[c] ,linoleate <  = > linoleate,2
2425,LNLNCACPT1,carnitine O-palmitoyltransferase,0,crn[c] + lnlncacoa[c]  => coa[c] + lnlncacrn[c] ,L-Carnitine+alpha-Linolenoyl-CoA = > Coenzyme A+alpha-linolenyl carnitine,4
2426,LNLNCACPT2,carnitine transferase,0,coa[m] + lnlncacrn[m]  => crn[m] + lnlncacoa[m] ,Coenzyme A+alpha-linolenyl carnitine = > L-Carnitine+alpha-Linolenoyl-CoA,4
2427,LNLNCACRNt,transport into the mitochondria (carnitine),0,lnlncacrn[c]  => lnlncacrn[m] ,alpha-linolenyl carnitine = > alpha-linolenyl carnitine,4
2428,LNLNCAt,fatty acid transport via diffusion,1,lnlnca[e]  <=> lnlnca[c] ,alpha-linolenate <  = > alpha-linolenate,2
2429,LNLNCGCPT1,carnitine O-palmitoyltransferase,0,crn[c] + lnlncgcoa[c]  => coa[c] + lnlncgcrn[c] ,L-Carnitine+gamma-linolenoyl-CoA(4-) = > Coenzyme A+gamma-linolenyl carnitine,4
2430,LNLNCGCPT2,carnitine transferase,0,coa[m] + lnlncgcrn[m]  => crn[m] + lnlncgcoa[m] ,Coenzyme A+gamma-linolenyl carnitine = > L-Carnitine+gamma-linolenoyl-CoA(4-),4
2431,LNLNCGCRNt,transport into the mitochondria (carnitine),0,lnlncgcrn[c]  => lnlncgcrn[m] ,gamma-linolenyl carnitine = > gamma-linolenyl carnitine,4
2432,LNLNCGt,fatty acid transport via diffusion,1,lnlncg[e]  <=> lnlncg[c] ,gamma-linolenate <  = > gamma-linolenate,2
2433,LNS14DM,cytochrome P450 lanosterol 14-alpha-demethylase (NADP),0,3 o2[c] + 2 h[c] + 3 nadph[c] + lanost[c]  => 4 h2o[c] + 3 nadp[c] + for[c] + 44mctr[c] ,"3O2+2proton+3Nicotinamide adenine dinucleotide phosphate - reduced+lanosterol = > 4Water+3Nicotinamide adenine dinucleotide phosphate+Formate+4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol",4
2434,LNSTLSr,lanosterol synthase,0,Ssq23epx[r]  => lanost[r] ,"(S)-2,3-epoxysqualene = > lanosterol",2
2435,LPASE,lysophospholipase,0,h2o[c] + lpchol_hs[c]  => h[c] + Rtotal[c] + g3pc[c] ,Water+lysophosphatidylcholine = > proton+R total+sn-Glycero-3-phosphocholine,4
2436,LPCHOLt,lysophosphatidylcholine transport,1,lpchol_hs[e]  <=> lpchol_hs[c] ,lysophosphatidylcholine <  = > lysophosphatidylcholine,2
2437,LPCOXp,"L-pipecolate oxidase, peroxisomal",0,Lpipecol[x] + o2[x]  => h[x] + h2o2[x] + thp2c[x] ,L-pipecolic acid+O2 = > proton+Hydrogen peroxide+1-piperideine-6-carboxylate,4
2438,LPS,lipase,0,h2o[c] + tag_hs[c]  => h[c] + Rtotal3[c] + dag_hs[c] ,Water+triglyceride = > proton+R total 3 position+diglyceride,4
2439,LPS2,lipase,0,h2o[c] + dag_hs[c]  => h[c] + Rtotal[c] + mag_hs[c] ,Water+diglyceride = > proton+R total+monoacylglycerol 2,4
2440,LPS2e,"lipase, extracellular",0,h2o[e] + dag_hs[e]  => h[e] + mag_hs[e] + Rtotal[e] ,Water+diglyceride = > proton+monoacylglycerol 2+R total,2
2441,LPS3,lipase,0,h2o[c] + mag_hs[c]  => h[c] + Rtotal2[c] + glyc[c] ,Water+monoacylglycerol 2 = > proton+R total 2 position+Glycerol,4
2442,LPS3e,"lipase, extracellular",0,h2o[e] + mag_hs[e]  => h[e] + glyc[e] + Rtotal2[e] ,Water+monoacylglycerol 2 = > proton+Glycerol+R total 2 position,2
2443,LPS4e,phospholipase,0,h2o[e] + pglyc_hs[e]  => h[e] + 1glyc_hs[e] + Rtotal2[e] ,Water+phosphatidylglycerol(1-) = > proton+1 acyl phosphoglycerol+R total 2 position,4
2444,LPSe,lipase,0,h2o[e] + tag_hs[e]  => h[e] + dag_hs[e] + Rtotal3[e] ,Water+triglyceride = > proton+diglyceride+R total 3 position,4
2445,LRAT,Lecithin retinol acyltransferase,0,pchol_hs[c] + retinol[c]  => lpchol_hs[c] + retfa[c] ,Phosphatidylcholine+retinol = > lysophosphatidylcholine+fatty acid retinol,4
2446,LRAT1,Lecithin retinol acyltransferase (11-cis),0,pchol_hs[c] + retinol_cis_11[c]  => lpchol_hs[c] + 11_cis_retfa[c] ,Phosphatidylcholine+11-cis-retinol = > lysophosphatidylcholine+fatty acid 11-cis-retinol,2
2447,LRAT2,Lecithin retinol acyltransferase (9-cis),0,pchol_hs[c] + retinol_9_cis[c]  => lpchol_hs[c] + 9_cis_retfa[c] ,Phosphatidylcholine+9-cis-retinol = > lysophosphatidylcholine+fatty acid 9-cis-retinol,2
2448,LS3,Lumisterol 3 formation,1,pd3[c]  <=> lum3[c] ,Previtamin D3 <  = > Lumisterol 3,4
2449,LSTO1r,Lathosterol oxidase,0,o2[r] + h[r] + nadph[r] + chlstol[r]  => 2 h2o[r] + nadp[r] + ddsmsterol[r] ,"O2+proton+Nicotinamide adenine dinucleotide phosphate - reduced+5alpha-cholesta-7,24-dien-3beta-ol = > 2Water+Nicotinamide adenine dinucleotide phosphate+7-dehydrodesmosterol",4
2450,LSTO2r,Lathosterol oxidase,0,o2[r] + h[r] + nadph[r] + lthstrl[r]  => 7dhchsterol[r] + 2 h2o[r] + nadp[r] ,"O2+proton+Nicotinamide adenine dinucleotide phosphate - reduced+5alpha-cholest-7-en-3beta-ol = > cholesta-5,7-dien-3beta-ol+2Water+Nicotinamide adenine dinucleotide phosphate",4
2451,LTA4H,Leukotriene A-4 hydrolase,0,h2o[c] + leuktrA4[c]  => leuktrB4[c] ,Water+leukotriene A4(1-) = > leukotriene B4(1-),4
2452,LTC4CP,Leukotriene C4 carboxypeptidase,1,h2o[c] + leuktrC4[c]  <=> gly[c] + leuktrF4[c] ,Water+leukotriene C4(2-) <  = > Glycine+leukotriene F4,2
2453,LTC4Sr,Leukotriene C4 synthase,0,gthrd[r] + leuktrA4[r]  => leuktrC4[r] ,Reduced glutathione+leukotriene A4(1-) = > leukotriene C4(2-),4
2454,LTD4DP,Leukotriene D4 dipeptidase,1,h2o[c] + leuktrD4[c]  <=> gly[c] + leuktrE4[c] ,Water+Leukotriene D4 <  = > Glycine+leukotriene E4(1-),4
2455,LTDCL,L-Tryptophan decarboxy-lyase,0,h[c] + trp_L[c]  => co2[c] + trypta[c] ,proton+L-tryptophan = > carbon dioxide+tryptaminium,4
2456,LYSMTF1n,"histone-lysine N-methyltransferase, nuclear",0,amet[n] + peplys[n]  => ahcys[n] + Nmelys[n] ,S-Adenosyl-L-methionine+Peptidyl-L-lysine = > S-Adenosyl-L-homocysteine+Histone N6-methyl-L-lysine,4
2457,LYSMTF2n,"histone-lysine N-methyltransferase, nuclear",0,amet[n] + Nmelys[n]  => ahcys[n] + Ndmelys[n] ,"S-Adenosyl-L-methionine+Histone N6-methyl-L-lysine = > S-Adenosyl-L-homocysteine+Protein N6,N6-dimethyl-L-lysine",4
2458,LYSMTF3n,"histone-lysine N-methyltransferase, nuclear",0,amet[n] + Ndmelys[n]  => ahcys[n] + Ntmelys[n] ,"S-Adenosyl-L-methionine+Protein N6,N6-dimethyl-L-lysine = > S-Adenosyl-L-homocysteine+Protein N6,N6,N6-trimethyl-L-lysine",4
2459,LYSOXp,"L-lysine oxidase, peroxisomal",0,o2[x] + h2o[x] + lys_L[x]  => h2o2[x] + nh4[x] + 6a2ohxnt[x] ,O2+Water+L-lysinium(1+) = > Hydrogen peroxide+Ammonium+6-amino-2-oxohexanoic acid,2
2460,LYSt4,L-lysine transport in via sodium symport,0,na1[e] + lys_L[e]  => na1[c] + lys_L[c] ,Sodium+L-lysinium(1+) = > Sodium+L-lysinium(1+),2
2461,LYStiDF,L-lysine transport via diffusion (extracellular to cytosol),0,lys_L[e]  => lys_L[c] ,L-lysinium(1+) = > L-lysinium(1+),4
2462,LYStip,"L-lysine transport, peroxisomal (irreversible)",0,lys_L[c]  => lys_L[x] ,L-lysinium(1+) = > L-lysinium(1+),2
2463,LYStm,Lysine mitochondrial transport via ornithine carrier,1,h[m] + lys_L[c]  <=> h[c] + lys_L[m] ,proton+L-lysinium(1+) <  = > proton+L-lysinium(1+),4
2464,LYStn,"L-lysine transport, nuclear",1,lys_L[c]  <=> lys_L[n] ,L-lysinium(1+) <  = > L-lysinium(1+),2
2465,M1316Mg,"mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase",0,2 h2o[g] + nm4masn[g]  => 2 man[g] + nm2masn[g] ,2Water+(N-acetyl-D-glucosaminyl-(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein) = > 2D-Mannose+(N-acetyl-D-glucosaminyl-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein),0
2466,M13N2Tg,"alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",0,uacgam[g] + m4masn[g]  => h[g] + udp[g] + nm4masn[g] ,UDP-N-acetyl-alpha-D-glucosamine(2-)+(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) = > proton+UDP+(N-acetyl-D-glucosaminyl-(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein),0
2467,M13N4Tg,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase",0,uacgam[g] + n2m2masn[g]  => h[g] + udp[g] + n3m2masn[g] ,UDP-N-acetyl-alpha-D-glucosamine(2-)+((N-acetyl-D-glucosaminyl)2-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein) = > proton+UDP+((N-acetyl-D-glucosaminyl)3-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein),0
2468,M14NTg,"beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase",0,uacgam[g] + n2m2masn[g]  => h[g] + udp[g] + n2m2nmasn[g] ,"UDP-N-acetyl-alpha-D-glucosamine(2-)+((N-acetyl-D-glucosaminyl)2-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein) = > proton+UDP+N-Acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,6)-(N-acetyl-beta-D-glucosaminyl-1,4)-beta-D-mannosyl-1,4-N-acetyl-beta-D-glucosaminyl-R",0
2469,M16N4Tg,"alpha-1,6-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase",0,uacgam[g] + n4m2masn[g]  => h[g] + udp[g] + n5m2masn[g] ,UDP-N-acetyl-alpha-D-glucosamine(2-)+((N-acetyl-D-glucosaminyl)4-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein) = > proton+UDP+((N-acetyl-D-glucosaminyl)5-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein),0
2470,M16N6Tg,"alpha-1,6-mannosyl-glycoprotein 6-beta-N-acetylglucosaminyltransferase",0,uacgam[g] + n3m2masn[g]  => h[g] + udp[g] + n4m2masn[g] ,UDP-N-acetyl-alpha-D-glucosamine(2-)+((N-acetyl-D-glucosaminyl)3-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein) = > proton+UDP+((N-acetyl-D-glucosaminyl)4-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein),0
2471,M16NTg,"alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",0,uacgam[g] + nm2masn[g]  => h[g] + udp[g] + n2m2masn[g] ,UDP-N-acetyl-alpha-D-glucosamine(2-)+(N-acetyl-D-glucosaminyl-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein) = > proton+UDP+((N-acetyl-D-glucosaminyl)2-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein),0
2472,M4ATAer,"M4A transamidase, endoplasmic reticulum",0,pre_prot[r] + m_em_3gacpail_hs[r]  => gpi_sig[r] + m_em_3gacpail_prot_hs[r] ,glycophosphatidylinositol (GPI)-anchored protein precursor+mannosyl-3-(phosphoethanolaminyl-mannosyl)-glucosaminyl-acylphosphatidylinositol (M4A)) = > glycophosphatidylinositol (GPI) signal sequence (C-terminal peptide)+mannosyl-3-(phosphoethanolaminyl-mannosyl)-glucosaminyl-acylphosphatidylinositol-Protein (M4A),4
2473,M4BET2er,"M4B phosphoethanolaminyl transferase, endoplasmic reticulum",0,pe_hs[r] + mem2emgacpail_hs[r]  => dag_hs[r] + m_em_3gacpail_hs[r] ,"phosphatidylethanolamine+({[(mannosyl),(phosphoethanolaminyl)]-dimannosyl},{phosphoethanolaminyl})-mannosyl-glucosaminyl-acylphosphatidylinositol (M4B) = > diglyceride+mannosyl-3-(phosphoethanolaminyl-mannosyl)-glucosaminyl-acylphosphatidylinositol (M4A))",4
2474,M4BTAer,"M4B transamidase, endoplasmic reticulum",0,mem2emgacpail_hs[r] + pre_prot[r]  => gpi_sig[r] + mem2emgacpail_prot_hs[r] ,"({[(mannosyl),(phosphoethanolaminyl)]-dimannosyl},{phosphoethanolaminyl})-mannosyl-glucosaminyl-acylphosphatidylinositol (M4B)+glycophosphatidylinositol (GPI)-anchored protein precursor = > glycophosphatidylinositol (GPI) signal sequence (C-terminal peptide)+({[(mannosyl),(phosphoethanolaminyl)]-dimannosyl},{phosphoethanolaminyl})-mannosyl-glucosaminyl-acylphosphatidylinositol-Protein (M4B)",4
2475,M4CET3er,"M4C phosphoethanolaminyl transferase, endoplasmic reticulum",0,pe_hs[r] + m3emgacpail_hs[r]  => dag_hs[r] + mem2emgacpail_hs[r] ,"phosphatidylethanolamine+(trimannosyl),(phosphoethanolaminyl)-mannosyl-glucosaminyl-acylphosphatidylinositol (M4C) = > diglyceride+({[(mannosyl),(phosphoethanolaminyl)]-dimannosyl},{phosphoethanolaminyl})-mannosyl-glucosaminyl-acylphosphatidylinositol (M4B)",4
2476,M4MPDOL_Lter,m4mpdol flippase,0,m4mpdol_L[c]  => m4mpdol_L[r] ,"(alpha-D-Mannosyl)4-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog = > (alpha-D-Mannosyl)4-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog",0
2477,M4MPDOL_Uter,m4mpdol flippase,0,m4mpdol_U[c]  => m4mpdol_U[r] ,"(alpha-D-Mannosyl)4-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog = > (alpha-D-Mannosyl)4-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog",0
2478,M7MASNBterg,m7masnB transport from endoplasmic reticulum to Golgi apparatus,0,m7masnB[r]  => m7masnB[g] ,"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein) = > (alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)",0
2479,M8MASNterg,m8masn transport from ER to Golgi apparatus,0,m8masn[r]  => m8masn[g] ,(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) = > (alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),0
2480,MACACI,maleylacetoacetate isomerase,0,4mlacac[c]  => 4fumacac[c] ,4-maleylacetoacetate = > 4-fumarylacetoacetate(2-),4
2481,MACOXO,3-Methylimidazole acetaldehyde:NAD+ oxidoreductase,0,h2o[c] + nad[c] + 3mldz[c]  => 2 h[c] + nadh[c] + 3mlda[c] ,Water+Nicotinamide adenine dinucleotide+1-methylimidazole-4-acetaldehyde = > 2proton+Nicotinamide adenine dinucleotide - reduced+3-Methylimidazoleacetic acid,4
2482,MAGt,monoacylglycerol 2 transport,1,mag_hs[e]  <=> mag_hs[c] ,monoacylglycerol 2 <  = > monoacylglycerol 2,2
2483,MALSO3tm,"Malate:sulfite antiport, mitochondrial",1,so3[m] + mal_L[c]  <=> so3[c] + mal_L[m] ,Sulfite+(S)-malate(2-) <  = > Sulfite+(S)-malate(2-),4
2484,MALSO4tm,"Malate:sulfate antiport, mitochondrial",1,mal_L[c] + so4[m]  <=> mal_L[m] + so4[c] ,(S)-malate(2-)+sulfate <  = > (S)-malate(2-)+sulfate,4
2485,MALT,alpha-glucosidase,0,h2o[c] + malt[c]  => 2 glc_D[c] ,Water+Maltose = > 2D-glucose,4
2486,MALTe,"alpha-glucosidase, extracellular",0,h2o[e] + malt[e]  => 2 glc_D[e] ,Water+Maltose = > 2D-glucose,4
2487,MALTly,"alpha-glucosidase, lysosomal",0,h2o[l] + malt[l]  => 2 glc_D[l] ,Water+Maltose = > 2D-glucose,4
2488,MALtm,"malate transport, mitochondrial",1,pi[m] + mal_L[c]  <=> pi[c] + mal_L[m] ,hydrogenphosphate+(S)-malate(2-) <  = > hydrogenphosphate+(S)-malate(2-),4
